#{"t_start": 1663259016.4642055, "env_id": null}
r,l,t,is_success
5.111105,64,4517.575167,
11.0356045,55,4518.875819,
5.9999943,43,4519.917343,
4.8888836,23,4520.546579,
5.111105,64,4521.968908,
1.7777729,27,4522.716511,
8.222216,43,4524.486049,
1.1111088,12,4524.9171,
8.222216,66,4526.323668,
4.8888836,27,4527.040818,
9.999994,34,4527.91922,
9.999994,41,4529.138603,
5.9999943,58,4530.465193,
11.0356045,63,4531.888075,
9.999994,32,4532.692805,
5.9999943,29,4533.441389,
5.9999943,64,4534.82353,
5.9999943,22,4535.438493,
1.111105,51,4536.574461,
2.8888836,28,4537.28036,
5.9999943,35,4538.131704,
3.9999943,69,4539.63378,
5.9999943,32,4540.46119,
4.8888836,26,4541.138798,
5.111105,34,4541.96936,
4.2222157,74,4544.173247,
2.2222157,38,4545.11689,
2.2222195,14,4545.584748,
3.9999943,25,4546.268241,
-2.2222233,8,4546.638626,
4.2222157,77,4548.319318,
5.9999943,26,4549.167737,
7.7022724,40,4550.208946,
7.111105,58,4551.650564,
7.111105,69,4553.260171,
5.9999943,49,4554.467719,
3.9999943,42,4555.42072,
4.2222157,49,4556.547784,
4.8888836,40,4557.492025,
8.222216,40,4929.8011,
5.9999943,47,4930.96956,
5.9999943,39,4931.968289,
-6.000002,17,4932.529883,
2.2222195,13,4933.019518,
4.8888836,24,4933.733395,
8.222216,55,4935.108261,
5.111105,47,4936.294315,
7.7022724,27,4937.058099,
5.9999943,34,4937.973985,
3.777773,26,4938.738993,
4.8888836,26,4939.47033,
4.8888836,27,4940.23217,
5.9999943,32,4941.112455,
9.999994,38,4942.103835,
5.9999943,36,4943.057222,
7.111105,44,4944.167853,
7.111105,43,4945.267074,
5.9999943,34,4946.158382,
5.9999943,39,4947.178669,
4.8888836,40,4948.183237,
2.6666622,24,4949.058761,
5.9999943,30,4949.88523,
9.999994,49,4951.81594,
5.9999943,37,4952.827733,
9.333326,50,4954.097454,
9.924494,32,4954.98192,
-6.2222233,10,4955.393984,
4.8888836,24,4956.098462,
2.8888836,34,4957.016615,
5.111105,44,4958.148187,
4.8888836,35,4959.071371,
-8.222223,12,4959.539845,
8.222216,45,4960.710249,
0.44444084,18,4961.302202,
3.7777748,37,4962.30096,
-4.519944,13,4962.779473,
5.9999943,35,4963.722555,
5.9999943,47,4964.961863,
7.3333263,43,4966.115528,
4.8888836,41,4967.210646,
5.9999943,39,4968.218053,
-3.4088326,12,4968.688565,
-4.4444447,6,4969.040088,
-1.5555592,19,4969.659917,
-12.888889,4,4969.969016,
9.999994,40,4971.02591,
4.8888836,29,4971.828176,
-1.1111126,11,4972.273375,
4.8888836,23,4973.603371,
1.1111088,12,4974.091384,
9.333326,72,4975.88642,
0.44444084,20,4976.534464,
7.111105,52,4977.82331,
5.9999943,36,4978.744812,
5.9999943,33,4979.624719,
5.9999943,53,4980.882171,
4.8888836,30,4981.724543,
8.222216,49,4982.949374,
0.6666622,27,4983.696241,
4.8888836,32,4984.57308,
5.9999943,37,4985.588686,
-491.85327,458,5684.597261,
-6225.8535,799,5701.45907,
-24.482193,14,5701.951546,
-365.85327,339,5708.731761,
2.2222326,799,6006.192119,
2.0733733,799,6024.114017,
-8.668804,33,6308.449507,
-0.07550144,253,6313.342533,
-6.742166,55,6314.57368,
-8.964388,19,6315.14261,
-4.519944,37,6316.081358,
-5.631055,70,6317.650155,
16.666662,799,6334.190187,
-0.07550049,213,6338.441061,
-0.07550144,298,6344.423705,
-6.668805,134,6347.045815,
-7.7799153,12,6969.733653,
-7.8532763,13,6970.203206,
-8.891027,9,6970.602764,
-10.666666,9,6970.985153,
-1.1866112,22,6971.611509,
-8.8910265,14,6972.092481,
-7.8532767,8,6972.467695,
-3.4088326,14,6972.949445,
-7.631055,15,6973.439202,
-7.779916,11,6973.853664,
-8.964388,5,6974.171936,
-8.964388,7,6974.52766,
-8.668804,12,6974.953347,
-7.8532763,7,6975.306045,
-10.666666,8,6975.675202,
-5.4088326,17,6976.238476,
-10.964388,6,6976.586858,
-4.519943,11,6977.028769,
-7.8532763,7,6977.371522,
-5.6310544,17,6977.891389,
-7.8532767,7,6978.252755,
-40.964386,15,6978.775953,
-18.0,5,6979.080355,
-6.668804,13,6979.552502,
-7.779915,12,6980.000388,
-4.519944,18,6980.556815,
-7.8532763,8,6980.935782,
-4.519944,12,6981.391074,
-5.5576935,18,6981.943528,
-4.519944,16,6982.45504,
-8.7421665,12,6982.877673,
-7.8532763,8,6983.216435,
-217.85327,42,6984.249135,
-3.335472,22,6984.904243,
-8.964388,6,6985.2374,
-27.631054,15,6985.746187,
-7.779916,14,6986.209846,
-6.668805,13,6986.664482,
-7.779915,14,6987.135083,
-5.631055,18,6987.927436,
-7.8532767,8,6988.32813,
-14.0,4,6988.608442,
-6.6688046,11,6989.042543,
-5.631055,12,6989.494935,
-8.444445,10,6989.89984,
-5.9287763,10,6990.300834,
5.182331,52,6991.486729,
-8.742166,8,6991.83389,
-3.4088335,21,6992.456506,
-5.6310544,17,6993.002103,
-14.0,3,6993.270295,
-12.888888,10,6993.668795,
-7.7799153,13,6994.12534,
-2.2977228,21,6994.744934,
-7.8532767,11,6995.156539,
-5.631055,17,6995.693495,
-8.891027,9,6996.090733,
-10.964388,9,6996.454891,
-2.2977219,17,6997.049143,
-6.7421656,10,6997.454364,
-5.631055,14,6997.918726,
-8.964388,6,6998.253378,
-14.888889,5,6998.552773,
-7.8532767,10,6998.917889,
-5.631055,14,7000.277862,
-2.2243605,30,7001.052246,
-7.8532767,7,7001.397586,
-4.519943,16,7001.904498,
-7.8532763,7,7002.246889,
-7.8532767,11,7002.656173,
-5.631055,11,7003.092916,
-4.446583,18,7003.676622,
-8.891027,9,7004.059793,
-6.668804,16,7004.58883,
-8.964388,5,7004.890301,
-7.779915,12,7005.332226,
-7.8532763,12,7005.762437,
-13.777778,8,7006.118388,
-14.0,3,7006.396326,
-5.631055,8,7006.748304,
-4.519944,16,7007.272617,
-7.779916,13,7007.748354,
-7.8532763,8,7008.117699,
-7.8532767,8,7008.468153,
-3.4088326,15,7008.981427,
-7.7799153,10,7009.372171,
-7.7799153,12,7009.810426,
-7.8532763,6,7010.133861,
-7.779916,17,7010.642483,
-10.666666,6,7011.207881,
-7.779915,13,7011.674384,
-7.8532767,9,7012.052596,
-1.1866112,14,7012.544568,
-8.964388,11,7012.981095,
-5.631055,9,7013.362821,
-2.2243605,27,7014.099751,
-8.891027,10,7014.514943,
-4.446583,17,7015.062975,
-8.964388,6,7015.391113,
-4.519944,18,7015.963076,
-5.631055,12,7016.393835,
-28.891026,15,7016.905116,
-32.891026,14,7017.372633,
-6.668804,11,7017.802899,
-27.779915,14,7018.284241,
-6.6688046,16,7018.794932,
-27.779915,13,7019.280268,
-10.742166,10,7019.687043,
-8.964388,5,7019.971705,
-6.6688046,14,7020.449953,
-11.777778,7,7020.802102,
-2.2977228,22,7021.432397,
-4.5933056,6,7021.763133,
-6.7421656,13,7022.222467,
-5.5576935,15,7022.71749,
-6.6688046,15,7023.191613,
-7.5576935,20,7023.794247,
-5.631055,12,7024.212043,
-6.742166,11,7024.585545,
-28.891026,12,7025.017208,
-8.444445,14,7025.497561,
-7.8532763,6,7025.825516,
-4.297723,28,7026.592939,
-7.8532763,10,7026.998702,
-12.888889,7,7027.345499,
-6.668804,12,7027.784837,
-37.779915,15,7028.295801,
-12.666666,10,7028.699225,
-28.891026,16,7029.210875,
-9.779915,11,7029.646828,
-3.633193,15,7030.152853,
-7.7799153,14,7031.500778,
-5.631055,10,7031.899455,
-12.891027,19,7032.537704,
-3.4088326,20,7033.171486,
-8.964388,7,7033.490668,
-7.8532767,10,7033.843776,
-7.8532763,8,7034.203413,
-5.631055,11,7034.652519,
-7.7799153,14,7035.427645,
-6.742166,22,7036.098561,
-7.779916,10,7036.493653,
-8.891027,10,7036.898521,
-7.8532767,7,7037.242956,
-7.779915,17,7037.772876,
-6.668804,17,7038.300382,
-12.888889,7,7038.631403,
-8.891027,8,7038.982409,
-4.8176656,11,7039.42379,
-8.964388,5,7039.744262,
-14.888889,6,7040.084018,
-16.0,4,7040.383834,
-5.631055,11,7040.823515,
-8.8910265,12,7041.27756,
-289.2977,57,7042.627139,
-3.3354712,30,7043.439082,
-6.7421656,8,7043.813197,
-6.668805,25,7044.612903,
-8.964388,5,7044.893294,
-10.593306,11,7972.378345,
-7.8532763,6,7972.71594,
-7.8532767,7,7973.068412,
-33.335472,18,7973.632911,
-7.7799153,9,7974.026089,
-40.964386,10,7974.417768,
-6.668804,12,7974.846934,
-25.408833,14,7975.33414,
-4.446583,14,7975.827502,
3.331192,29,7976.629849,
-6.6688046,10,7977.039437,
-7.7799153,12,7977.474685,
-6.668804,15,7977.971201,
-7.779916,11,7978.391097,
-27.779915,12,7978.831079,
-3.7065535,12,7979.295541,
-25.706553,15,7979.811373,
-26.668804,14,7980.313349,
-5.5576935,11,7980.776148,
-2.3710842,11,7981.210616,
-30.891026,14,7981.72599,
9.924494,57,7983.05639,
-7.779915,12,7983.481491,
-7.8532763,8,7983.839359,
-7.779916,10,7984.262154,
-30.964388,9,7984.649371,
-6.668804,13,7985.111199,
-35.557693,16,7985.647344,
-7.779916,9,7986.012404,
-5.5576935,17,7986.805283,
-26.668804,16,7987.355432,
-6.668805,14,7987.834117,
-8.891027,8,7988.188587,
-4.446583,16,7988.725149,
-1.1866121,18,7989.318275,
-6.668804,11,7989.76073,
-6.668805,12,7990.204382,
-6.668804,16,7990.733163,
-7.8532767,10,7991.151654,
-3.3354712,15,7991.670442,
-36.668804,13,7992.174994,
-36.668804,17,7992.74322,
-5.5576935,17,7993.313821,
-27.779915,13,7993.795222,
-2.6688051,9,7994.207573,
-10.002137,7,7994.579474,
-6.668804,12,7995.054134,
-7.8532767,6,7995.381399,
-7.779915,11,7995.775135,
-2.2243605,14,7996.278364,
-7.8532767,7,7996.622969,
-8.964388,5,7996.941921,
-6.7421656,17,7997.462248,
-6.6688046,13,7997.930122,
-8.8910265,8,7998.311061,
-4.519943,10,7998.752468,
-6.668804,11,7999.199923,
-1.1132507,19,7999.802572,
-6.6688046,12,8000.260418,
-7.7799153,10,8000.666455,
-7.7799153,11,8001.108286,
-8.891027,8,8001.531265,
-153.85327,30,8002.362871,
-1.1866121,18,8002.946322,
-8.891027,9,8003.375818,
-1.1866121,24,8005.077266,
-30.964388,9,8005.490168,
-6.6688046,14,8006.010695,
-6.6688046,10,8006.436727,
