#{"t_start": 1665418421.216946, "env_id": null}
r,l,t,is_success
-8.964388,5,6293.145608,
-8.964388,5,6293.442589,
-14.0,3,6293.680809,
-14.0,3,6294.117149,
-14.0,3,6294.415125,
-14.0,3,6294.67747,
-14.0,3,6294.940874,
-14.0,3,6295.216533,
-14.0,3,6295.491541,
-14.0,3,6295.759073,
-14.0,3,6296.042808,
-14.0,3,6296.327883,
-14.0,3,6296.60456,
-59.29772,13,6297.094003,
-14.0,3,6297.364353,
-14.0,3,6297.635524,
-14.0,3,6297.896302,
-14.0,3,6298.179574,
-14.0,3,6298.451522,
-8.891027,8,6298.82189,
-14.0,3,6299.100602,
-14.0,3,6299.385998,
-14.0,3,6299.670704,
-14.0,4,6299.976516,
-8.964388,5,6300.28586,
-14.0,3,6300.545569,
-14.0,3,6300.814151,
-14.0,3,6301.078572,
-14.0,3,6301.345363,
-8.964388,5,6301.662992,
-14.0,3,6301.951045,
-14.0,3,6302.196071,
-14.0,3,6302.482493,
-14.0,3,6302.7472,
-14.0,3,6302.998496,
-14.0,3,6303.279002,
-8.964388,5,6303.597201,
-14.0,3,6303.857353,
-14.0,3,6304.107457,
-14.0,3,6304.394506,
-14.0,3,6304.662148,
-14.0,3,6304.924463,
-8.964388,5,6305.24562,
-14.0,3,6305.525177,
-14.0,3,6305.805639,
-14.0,3,6306.071637,
-14.0,3,6306.916795,
-14.0,3,6307.202709,
-8.964388,5,6307.528912,
-14.0,3,6307.824006,
-14.0,3,6308.094841,
-8.964388,5,6308.382916,
-8.964388,5,6308.649354,
-14.0,3,6309.11471,
-14.0,3,6309.413518,
-14.0,3,6309.693203,
-14.0,4,6309.996115,
-8.964388,6,6310.317668,
-8.964388,5,6310.625104,
-8.964388,5,6310.935488,
-14.0,3,6311.202599,
-14.0,4,6311.503862,
-8.891027,8,6311.879534,
-14.0,3,6312.133834,
-14.0,3,6312.396775,
-14.0,3,6312.676836,
-16.0,4,6312.971317,
-14.0,3,6313.259787,
-14.0,3,6313.541791,
-14.0,3,6313.797589,
-14.0,3,6314.070122,
-14.0,3,6314.361152,
-14.0,3,6314.634026,
-14.0,3,6314.914634,
-14.0,3,6315.187014,
-8.891027,8,6315.561559,
-14.0,3,6315.834953,
-14.0,3,6316.113746,
-14.0,3,6316.382745,
-14.0,3,6316.647113,
-14.0,3,6316.93362,
-12.888889,4,6317.228049,
-14.0,3,6317.495395,
-28.002136,9,6317.881662,
-14.0,3,6318.162373,
-8.964388,5,6318.475759,
-8.964388,5,6318.778681,
-14.0,3,6319.069239,
-8.891027,8,6319.446255,
-14.0,3,6319.723926,
-14.0,3,6319.987381,
-12.888889,4,6320.278615,
-14.0,3,6320.539869,
-14.0,3,6320.818176,
-14.0,3,6321.091877,
-8.964388,5,6321.376751,
-14.0,3,6321.652943,
-8.964388,5,6321.967604,
-14.0,3,6322.206737,
-8.964388,5,6322.497254,
-14.0,3,6322.748167,
-14.0,3,6323.005336,
-28.891026,10,6323.391853,
-14.0,3,6323.86472,
-14.0,3,6324.164508,
-8.964388,5,6324.469877,
-8.964388,5,6324.771671,
-14.0,3,6325.044775,
-8.964388,5,6325.343383,
-8.964388,5,6325.632437,
-14.0,3,6325.893286,
-14.0,3,6326.168218,
-14.0,3,6326.449383,
-14.0,3,6326.706712,
-14.0,3,6326.957144,
-14.0,3,6327.211404,
-14.0,3,6327.479202,
-8.964388,5,6327.791995,
-14.0,3,6328.059211,
-14.0,3,6328.330128,
-8.964388,5,6328.626497,
-12.815527,7,6328.977822,
-8.964388,5,6329.27229,
-14.0,3,6329.545024,
-14.0,3,6329.797363,
-8.964388,5,6330.119016,
-14.0,3,6330.381607,
-14.0,3,6330.624735,
-12.888889,4,6330.903733,
-14.0,3,6331.182908,
-14.0,3,6331.449992,
-8.964388,5,6331.765069,
-14.0,3,6332.042324,
-14.0,4,6332.337775,
-14.0,3,6332.598219,
-14.0,3,6332.874817,
-14.0,3,6333.142033,
-14.0,3,6333.43961,
-8.964388,5,6333.716553,
-14.0,3,6333.970135,
-14.0,3,6334.22948,
-14.0,3,6334.488193,
-14.0,3,6334.756273,
-14.0,3,6335.021616,
-14.0,3,6335.284993,
-14.0,3,6335.564981,
-14.0,3,6335.82363,
-12.815527,7,6336.761581,
-14.0,3,6337.025924,
-14.0,3,6337.304202,
-14.0,3,6337.57031,
-14.0,3,6337.84167,
-12.888889,4,6338.143306,
-12.888889,4,6338.624985,
-12.888889,4,6338.922054,
-8.964388,5,6339.247662,
-14.0,3,6339.521022,
-14.0,3,6339.797924,
-14.0,3,6340.062399,
-14.0,3,6340.347254,
-14.0,3,6340.629828,
-14.0,3,6340.885084,
-8.964388,5,6341.211773,
-14.0,3,6341.494493,
-10.891027,9,6341.854687,
-10.891027,9,6342.207927,
-14.0,3,6342.472874,
-8.964388,5,6342.780764,
-8.964388,5,6343.087258,
-14.0,3,6343.363893,
-14.0,3,6343.636829,
-8.964388,5,6343.920109,
-14.0,3,6344.194781,
-14.0,3,6344.459861,
-14.0,3,6344.703779,
-22.482193,6,6345.035053,
-30.964388,9,6345.41133,
-9.853276,7,6345.774137,
-14.0,3,6346.063321,
-14.0,3,6346.33229,
-14.0,3,6346.603175,
-8.964388,5,6346.901987,
-12.815527,8,6347.269438,
-14.0,3,6347.533886,
-8.964388,5,6347.834055,
-14.0,3,6348.115875,
-14.0,3,6348.39945,
-14.0,3,6348.662774,
-30.964388,9,6349.054054,
-14.0,3,6349.325768,
-14.0,3,6349.594666,
-14.0,3,6349.8581,
-10.964388,6,6350.182628,
-14.0,3,6350.448802,
-8.964388,5,6350.736565,
-8.964388,5,6351.067679,
-14.0,3,6351.357485,
-8.964388,6,6351.683255,
-14.0,3,6351.950627,
-10.964388,6,6352.237303,
-8.964388,5,6352.536105,
-14.0,3,6352.812329,
